"part","index","notes"
"F","73","[E,/C,/]G,/[E,/C,/]G,/[E,/C,/]G,/"
"G","74","""C""c'/b/c'/g/e/c/"
"F","74","E,2z & C,2x"
"G","75","""D7""[^fd]""D7""[fd]""D7""[fd]"
"F","75","C,C,C,"
"G","76","""C""c'/b/c'/g/""C""e/c/"
"F","76","[E,2C,2][G,C,]"
"G","77","""G""g/b/g""G""d"
"F","77","[D,2B,,2][G,B,,]"
"G","78","""C""cC""C""z"
"F","78","C,2C,,"
"G","79","""C""c2z"
"F","79","C,G,,C,,"
"G","80","""D7""d!turn!A^f"
"F","80","C,2z"
"G","81","""G""[g2d2B2G2]z"
"F","81","G,,G,/=F,/E,/D,/"
"G","82","""G""d/B/G""G""g"
"F","82","G,2 [D,B,,] & B,,2 x"
"G","83","""C""c2z"
"F","83","C,G,,C,,"
"G","84","""C""c/G/e/c/g/e/"
"F","84","[E,2C,2]z"
"G","85","""C""ceG"
"F","85","[G,2E,2]z"
"G","86","""G""dd/g/b"
"F","86","[G,2B,,2]z"
"G","87","""C""gc""C""e"
"F","87","[E,2C,2][G,C,]"
"G","88","""G""g/d/g/b/""G""g/d/"
"F","88","[D,2B,,2][D,B,,]"
"G","89","""(dm""f/e/d""G)""g"
"F","89","F,/E,/D,G,"
"G","90","""D7/C""^f/a/d'/a/""D7/C""f/a/"
"F","90","[A,2C,2][A,C,]"
"G","91","""G""[g2d2B2G2]z"
"F","91","G,,G,/=F,/E,/D,/"
"G","92","""G""[dB]g/b/""G""d"
"F","92","[G,2G,,2]G,"
"G","93","""C""c2z"
"F","93","C,G,,C,,"
"G","94","""G""[g2d2B2G2]z"
"F","94","G,,G,/=F,/E,/D,/"
"G","95","""C""gec"
"F","95","E,2 z & C,2 x"
"G","96","""C""ecG"
"F","96","C,2z"
"G","97","""G""g/^f/g/d/""G""B/G/"
"F","97","[D,2B,,2][G,B,,]"
"G","98","""C""c""C""G""C""e"
"F","98","[E,/C,/]G,/[E,/C,/]G,/[E,/C,/]G,/"
"G","99","""D7/C""^f""d7/c""ad"
"F","99","[A,2C,2][A,C,]"
"G","100","""G""[g2d2B2G2]z"
"F","100","G,,G,/=F,/E,/D,/"
"G","101","""C""e/d/e/g/""C""c'/g/"
"F","101","G,2 E, & C,2 C,"
"G","102","""D7/C""^f/d/A ""D7/C""f"
"F","102","[A,2C,2][A,C,]"
"G","103","""C""c/e/c/G/E"
"F","103","[E,2C,2]z"
"G","104","""C""e/d/e/g/c'/g/"
"F","104","C,2z"
"G","105","""D7/C""^fa/f/d/f/"
"F","105","C,2z"
"G","106","""C""A""Dm""d/c/B/A/"
"F","106","C,D,D,,"
"G","107","""G""[g2d2B2G2]z"
"F","107","G,,G,/=F,/E,/D,/"
"G","108","(""C""eg""C""c')"
"F","108","[G,2C,2][E,C,]"
"G","109","""dm/f""d/f/d/f/""G""B/d/"
"F","109","[A,2F,2][DG,]"
"G","110","(""X""[d/B/][c/A/])(""X""[c/A/][B/G/])(""D""[B/G/][A/^F/])"
"F","110","C,D,D,,"
"G","111","""C""c2z"
"F","111","C,G,,C,,"
"G","112","""C""e""C""c""C""G"
"F","112","[E,/C,/]G,/[E,/C,/]G,/[E,/C,/]G,/"
"G","113","""G(7)""fdB"
"F","113","[B,2G,2]z"
"G","114","""G""[dB]""G""[dB]""G""[dB]"
"F","114","G,G,G,"
"G","115","""C""c/G/""C""e/c/""C""g/e/"
"F","115","[E,2C,2]z"
"G","116","""dm/F""d/f/a/f/""G""d/B/"
"F","116","F,2G,"
"G","117","""D""d/A/d/^f/a/f/"
"F","117","[^F,2D,2]z"
"G","118","""am/c""e/a/""G/D""g/b/""D""^f/a/"
"F","118","C,D,D,,"
"G","119","""C""e/c/g/e/c'/g/"
"F","119","[E,2C,2]z"
"G","120","""D""d'a/^f/""D7/C""d/A/"
"F","120","[^F,2D,2][F,C,]"
"G","121","""G""gb/g/d"
"F","121","[G,2B,,2]z"
"G","122","""G""g/^f/""G""g/b/""G""d"
"F","122","[D,B,,][D,B,,][G,B,,]"
"G","123","""G""[g2d2B2G2]z"
"F","123","G,,G,/=F,/E,/D,/"
"G","124","""C""[cE]""C""[cE]""C""[cE]"
"F","124","C,C,C,  "
